-1.62424,-0.601404,-1.4855,-0.482
-1.55802,-0.581643,0.73975,-0.294
-1.49191,-0.561753,2.965,-0.106
-1.42594,-0.54176,5.17325,-0.0745
-1.36012,-0.521692,7.3815,-0.043
-1.29445,-0.501578,9.732,0.002
-1.22895,-0.481443,12.0825,0.047
-1.16363,-0.461314,14.3735,0.07925
-1.09849,-0.441209,16.6645,0.1115
-1.03355,-0.421152,18.8443,0.13775
-0.968823,-0.401161,21.024,0.164
-0.904307,-0.381255,23.4552,0.11775
-0.84001,-0.361453,25.8865,0.0715
-0.775938,-0.341772,27.4573,0.02575
-0.712095,-0.322229,29.028,-0.02
-0.648482,-0.302839,30.88,-0.086
-0.585101,-0.283616,32.732,-0.152
-0.521951,-0.264576,34.369,-0.23075
-0.45903,-0.245731,36.006,-0.3095
-0.396335,-0.227092,38.4402,-0.801575
-0.333861,-0.208672,40.8745,-1.29365
-0.271603,-0.190479,42.5252,-3.23583
-0.209552,-0.172524,44.176,-5.178
-0.147699,-0.154814,44.3543,-6.229
-0.0860343,-0.137356,44.5325,-7.28
-0.0245452,-0.120156,44.5547,-8.502
0.0367821,-0.10322,44.577,-9.724
0.0979627,-0.0865512,44.5135,-10.7175
0.159014,-0.0701527,44.45,-11.711
0.219954,-0.0540262,44.2248,-12.829
0.280803,-0.0381723,43.9995,-13.947
0.342741,-0.0222713,43.6367,-14.8987
0.407804,-0.00712497,43.274,-15.8505
0.472904,0.00775437,42.6782,-16.9188
0.53803,0.0223757,42.0825,-17.987
0.603175,0.0367494,41.0132,-19.1793
0.668332,0.050883,39.944,-20.3715
0.733498,0.0647829,38.4952,-21.324
0.798666,0.0784562,37.0465,-22.2765
0.863833,0.0919108,35.3675,-23.0157
0.928995,0.105153,33.6885,-23.755
0.994148,0.118186,30.8213,-24.6463
1.05929,0.131013,27.954,-25.5375
1.12442,0.143636,26.4593,-25.8792
1.18953,0.156058,24.9645,-26.221
1.25462,0.168282,23.708,-26.369
1.3197,0.180311,22.4515,-26.517
1.38476,0.192148,20.3672,-25.9983
1.4498,0.203797,18.283,-25.4795
1.51482,0.215261,16.9273,-24.3897
1.57983,0.226542,15.5715,-23.3
1.64482,0.237644,14.5418,-22.2907
1.7098,0.248569,13.512,-21.2815
1.77477,0.259322,12.5665,-20.4642
1.83974,0.269904,11.621,-19.647
1.9047,0.280319,10.7067,-18.9458
1.96966,0.29057,9.7925,-18.2445
2.03462,0.300659,8.46683,-17.317
2.09959,0.310589,7.14115,-16.3895
2.16457,0.320361,5.84432,-15.9447
2.22956,0.32998,4.5475,-15.5
2.29458,0.339445,2.8755,-15.5115
2.35962,0.34876,1.2035,-15.523
2.42468,0.357921,-0.494,-15.8703
2.4897,0.366935,-2.1915,-16.2175
2.55469,0.375806,-3.093,-17.46
2.61965,0.384533,-3.9945,-18.7025
2.68458,0.393116,-4.6035,-20.377
2.7495,0.401556,-5.2125,-22.0515
2.81441,0.409852,-5.4205,-23.6852
2.8793,0.418011,-5.6285,-25.319
2.9442,0.426037,-5.48425,-26.99
3.00911,0.433934,-5.34,-28.661
3.07403,0.441709,-5.2745,-30.6123
3.13896,0.449366,-5.209,-32.5635
3.20391,0.456912,-6.002,-34.299
3.26889,0.464352,-6.795,-36.0345
3.3339,0.471692,-7.62,-37.9425
3.39894,0.478938,-8.445,-39.8505
3.46401,0.486093,-7.94225,-41.593
3.52911,0.493162,-7.4395,-43.3355
3.59426,0.50015,-6.544,-44.8122
